id,Name,Category,lat,lng
,上環豐物道專用汽站,Cheap,22.2889087262,114.1388796208
,柴灣專用汽站,Cheap,22.2671252822,114.2450928058
,柴灣ESSO,Expensive,22.2666374756,114.2443643919
,杏花邨中石化,Expensive,22.2738589911,114.2426059809
,淺水灣中石油,Very Expensive,22.2385869474,114.1993543439
,黃竹坑ESSO,Very Expensive,22.2497933155,114.1693089173
,薄扶林道SHELL,Very Expensive,22.2749928119,114.1300240049
,灣仔專用汽站,Cheap,22.2817833766,114.1788450422
,北角ESSO,Expensive,22.2930589605,114.2063451400
,油麻地專用汽站 (麗翔道西行入),Cheap,22.3114802522,114.1657764393
,深旺道專用汽站,Cheap,22.3345002747,114.1458274560
,九龍灣中國石化,Expensive,22.3226414034,114.2041887381
,九龍灣SHELL,Expensive,22.3216987501,114.2052385111
,九龍灣SHELL,Expensive,22.3207907047,114.2053769427
,九龍灣ESSO,Expensive,22.3210412000,114.2050918395
,九龍灣ESSO,Expensive,22.3213444311,114.2056653419
,九龍灣專用汽站,Cheap,22.3166262205,114.2119095962
,觀塘專用汽站,Cheap,22.3034661539,114.2254478777
,寶琳北路ESSO,Very Expensive,22.3273406621,114.2545063611
,寶琳SHELL,Very Expensive,22.3217317100,114.2549191839
,西貢市ESSO,Very Expensive,22.3792661105,114.2663472074
,大涌口中國石化,Very Expensive,22.3733951272,114.2604836401
,大連排中國石化專用汽站,Cheap,22.3605510489,114.1316195133
,大窩口ESSO,Expensive,22.3703766357,114.1259904253
,大窩口中石化,Expensive,22.3710015410,114.1277416422
,大窩口ESSO,Expensive,22.3709644913,114.1274230146
,大窩口SHELL,Expensive,22.3710410607,114.1280627398
,源順圍中國石化,Expensive,22.3819528219,114.2073034541
,石門ESSO,Expensive,22.3925873276,114.2083371414
,欣安專用汽站,Cheap,22.4141922565,114.2272572004
,大埔專用汽站,Cheap,22.4458685354,114.1740723218
,青衣南中國石化,Very Expensive,22.3301099667,114.1058611045
,青衣ESSO,Very Expensive,22.3568018227,114.1002826511
,青衣加德士,Very Expensive,22.3549789763,114.0992156190
,青衣SHELL,Very Expensive,22.3555767118,114.0995218967
,粉嶺中國石化,Expensive,22.4855687553,114.1438796786
,粉嶺ESSO,Expensive,22.4913318398,114.1456037257
,凹頭中國石化,Expensive,22.4436476103,114.0499067591
,元朗專用汽站,Cheap,22.4515120317,114.0303790847
,廈村中石化,Expensive,22.4462744357,113.9946674734
,藍地中國石化,Expensive,22.4210608637,113.9850851798
,屯門專用汽站,Cheap,22.3900724747,113.9688203510
,機場SHELL,Very Expensive,22.3107317261,113.9388891142
,東涌中國石油,Very Expensive,22.2802694432,113.9397091481
,屯門海華路ESSO,Expensive,22.3803314848,113.9712119107
