id,name,remarks,lat,lng,openinghrs
,田寮村公廁,,22.4323341014,114.0243206875,24小時
,白沙村公廁,,22.4252559534,114.0219958565,24小時
,黃泥墩公廁,,22.4165686868,114.0215071977,24小時
,泥圍公廁,,22.4225189709,113.9890261988,24小時
,新慶村公廁,,22.4188083728,113.9800477113,24小時
,九龍站公廁,地面入九龍站的士站輸候區內,22.3042169188,114.1608359554,24小時
,中環民輝街公廁,,22.2880336048,114.1558853774,24小時
,香港站的士站公廁,地底的士站輪候區內,22.2853043186,114.1568360647,24小時
,尖沙咀東巴士總站公廁,巴士總站出口旁入,22.3016260642,114.1784091474,24小時
,紅磡站廁所,不需入閘,22.3029708283,114.1819556333,24小時
,紅磡碼頭公廁,,22.3021237588,114.1899072107,24小時
,尖沙咀三角公廁,,22.3022770223,114.1754691238,24小時
,佐治五世紀念公園公廁,車停佐敦道西行 公園門口,22.3055631250,114.1682838642,24小時
,旭穌道公廁,,22.2805218362,114.1383167174,24小時
,西寧街公廁,,22.2820025599,114.1230678167,24小時
,華富 康富遊樂場公廁,,22.2537575682,114.1353750457,24小時
,瀑布灣公園公廁,,22.2508018886,114.1348040154,24小時
,港澳碼頭巴士總站公廁,,22.2881734784,114.1500537400,24小時
,雪廠街公廁,,22.2798131982,114.1575199828,24小時
,堅尼地道紅樢路公廁,,22.2768525746,114.1571533038,24小時
,廈門街公廁,,22.2753224109,114.1719300538,24小時
,修頓遊樂場,,22.2768583426,114.1717339424,24小時
,愛丁堡廣場公廁,,22.2825010785,114.1601584233,24小時
,博覽道東公廁,,22.2842891534,114.1743394230,24小時
,堅拿道公廁,橋底中間,22.2802952368,114.1808539485,24小時
,黃泥涌道公廁,,22.2744844053,114.1832270617,24小時
,大潭道水塘公廁,,22.2572167104,114.1952508355,24小時
,大坑道公廁,,22.2766202072,114.1948437807,24小時
,蓮花宫公廁,,22.2792149759,114.1928505303,24小時
,寶馬山道遊樂場公廁,,22.2840007543,114.1993246799,24小時
,北角配水庫遊樂場公廁,,22.2881042626,114.2013550102,24小時
,糖水道公廁,橋底,22.2918592199,114.1987116257,24小時
,銅鑼灣街市公廁,,22.2859989486,114.1916598537,24小時
,永興街公廁,,22.2853875423,114.1919911008,24小時
,維園公廁,,22.2823486390,114.1910517435,24小時
,東岸公園公廁,車停屈臣道盡頭,22.2877688956,114.1893823242,24小時
,油街實現公廁,油街入,22.2886934209,114.1929518821,24小時
,電照街遊樂場公廁,,22.2930985124,114.2034430202,24小時
,鰂魚涌公園公廁,車停海灣街,22.2904798478,114.2115577492,24小時
