id,name,remarks,lat,lng,openinghrs
,九龍站公廁,地面入九龍站的士站輸候區內,22.3042169100,114.1608359000,24小時
,中環民輝街公廁,,22.2880336000,114.1558853000,24小時
,香港站的士站公廁,地底的士站輪候區內,22.2853043100,114.1568360000,24小時
,尖沙咀東巴士總站公廁,巴士總站出口旁入,22.3016260600,114.1784091000,24小時
,紅磡站廁所,不需入閘,22.3029708200,114.1819556000,24小時
,紅磡碼頭公廁,,22.3021237500,114.1899072000,24小時
,尖沙咀三角公廁,,22.3022770200,114.1754691000,24小時
,佐治五世紀念公園公廁,車停佐敦道西行 公園門口,22.3055631200,114.1682838000,24小時
,旭穌道公廁,,22.2805218300,114.1383167000,24小時
,西寧街公廁,,22.2820025500,114.1230678000,24小時
,華富 康富遊樂場公廁,,22.2537575600,114.1353750000,24小時
,瀑布灣公園公廁,,22.2508018800,114.1348040000,24小時
,港澳碼頭巴士總站公廁,,22.2881734700,114.1500537000,24小時
,雪廠街公廁,,22.2798131900,114.1575199000,24小時
,堅尼地道紅棉路公廁 (橋底),,22.2768525700,114.1571533000,24小時
,廈門街公廁,,22.2753224100,114.1719300000,24小時
,修頓遊樂場,,22.2768583400,114.1717339000,24小時
,愛丁堡廣場公廁,,22.2825010700,114.1601584000,24小時
,博覽道東公廁,,22.2842891500,114.1743394000,24小時
,堅拿道公廁,橋底中間,22.2802952300,114.1808539000,24小時
,黃泥涌道公廁,,22.2744844000,114.1832270000,24小時
,大潭道水塘公廁,,22.2572167100,114.1952508000,24小時
,大坑道公廁,,22.2766202000,114.1948437000,24小時
,蓮花宫公廁,,22.2792149700,114.1928505000,24小時
,寶馬山道遊樂場公廁,,22.2840007500,114.1993246000,24小時
,北角配水庫遊樂場公廁,,22.2881042600,114.2013550000,24小時
,糖水道公廁,橋底,22.2918592100,114.1987116000,24小時
,銅鑼灣街市公廁,,22.2859989400,114.1916598000,24小時
,永興街公廁,,22.2853875400,114.1919911000,24小時
,維園公廁,,22.2823486300,114.1910517000,24小時
,東岸公園公廁,車停屈臣道盡頭,22.2877688900,114.1893823000,24小時
,油街實現公廁,油街入,22.2886934200,114.1929518000,24小時
,電照街遊樂場公廁,,22.2930985100,114.2034430000,24小時
,鰂魚涌公園公廁,車停海灣街,22.2904798400,114.2115577000,24小時
,麥當勞廁所,車停祐民街,22.2841284700,114.2131126000,24小時
,鰂魚涌公園小食亭公廁,車停鯉景道,22.2877326300,114.2218931000,24小時
,海寧街公廁,,22.2814026800,114.2230648000,24小時
,南安街公廁,,22.2789892000,114.2266369000,24小時
,愛秩序灣公廁,,22.2824021900,114.2249971000,24小時
,常安街公廁,,22.2719934600,114.2435848000,24小時
,吉勝街公廁,,22.2637880900,114.2359579000,24小時
,南灣半島商場廁所,,22.2668368800,114.2503927000,24小時
,小西灣海濱公園公廁,,22.2649301500,114.2520094000,24小時
,汽站廁所,,22.2670725400,114.2452131000,24小時
,石澳公廁,,22.2293252100,114.2510684000,24小時
,大潭道公廁,,22.2401162800,114.2212627000,24小時
,赤柱連合道公廁,,22.2205034900,114.2138599000,24小時
,赤柱正灘公廁,,22.2223723200,114.2139803000,24小時
,淺水灣道公廁,,22.2382820600,114.1960616000,24小時
,淺水灣海灘公廁,,22.2372570100,114.1967274000,24小時
,新圍村公廁,,22.2487671100,114.1762283000,24小時
,業發街公廁,,22.2489973300,114.1686497000,24小時
,深灣道公廁,,22.2429228200,114.1645742000,24小時
,觀海徑公廁,,22.2470922500,114.1582591000,24小時
,香港仔大道公廁,,22.2478437300,114.1589644000,24小時
,香港仔巴士總站公廁,,22.2475438000,114.1548708000,24小時
,洪聖街公廁,,22.2445320900,114.1557516000,24小時
,鴨脷洲公園公廁,,22.2450709800,114.1575694000,24小時
,利樂街公廁,,22.2379648200,114.1542503000,24小時
,數碼港商場廁所,地下711旁,22.2617717600,114.1298344000,24小時
,薄扶林道遊樂場公廁,,22.2780185300,114.1311602000,24小時
,卑路戶灣公園公廁,,22.2842100400,114.1298872000,24小時
,汽站廁所,,22.2889101300,114.1390212000,24小時
,羅便臣道公廁,,22.2814480000,114.1479302000,24小時
,摩羅街市場公廁,,22.2845462400,114.1503907000,24小時
,汽站廁所,,22.2817619500,114.1787576000,24小時
,油站廁所,,22.2928826200,114.2065016000,24小時
,鰂魚涌海濱公園公廁,,22.2903562400,114.2142851000,24小時
,汽站廁所,,22.3116747100,114.1658291000,24小時
,西邨路公廁,,22.3272614500,114.1563482000,24小時
,晏架街公廁,,22.3199690700,114.1646722000,24小時
,砵蘭街公廁,,22.3169730200,114.1688977000,24小時
,洗衣街花園公廁,,22.3171378200,114.1717026000,24小時
,麥花臣遊樂場公廁,,22.3182287900,114.1721294000,24小時
,花墟公廁,,22.3251627300,114.1706413000,24小時
,汽站廁所,,22.3347309900,114.1457598000,24小時
,丹荔街公廁,,22.3336894600,114.1526732000,24小時
,長順街公廁,,22.3360131300,114.1460318000,24小時
,保安道遊樂場公廁,,22.3394096500,114.1575035000,24小時
,順寧道遊樂場公廁,,22.3366130000,114.1603314000,24小時
,大南街公廁,,22.3265033700,114.1639908000,24小時
,欽州街公廁,,22.3330846400,114.1619390000,24小時
,南昌街公廁,,22.3310444200,114.1646549000,24小時
,又一村公廁,,22.3318181600,114.1756874000,24小時
,九龍城市政大廈公廁,,22.3300815800,114.1888706000,24小時
,亞皆老街遊樂場公廁,,22.3266356200,114.1889711000,24小時
,龍崗道公廁,,22.3298508600,114.1905458000,24小時
